Protein.Group	Protein.Names	Genes	First.Protein.Description	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_001_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_002_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_003_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_004_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_005_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_006_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_007_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_008_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_009_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_010_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_011_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_012_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_013_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_014_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_015_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_016_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_017_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_018_02_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_019_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_020_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_021_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_022_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_023_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_024_001_4pto.raw
O60343	TBCD4_HUMAN	TBC1D4	TBC1 domain family member 4	1.20178e+07	1.37282e+07	1.17005e+07	1.16315e+07	1.09325e+07	1.21527e+07	1.2039e+07	1.24542e+07	1.17678e+07	1.25665e+07	1.17505e+07	1.22519e+07	1.229e+07	1.13362e+07	1.14392e+07	1.11785e+07	1.1721e+07	1.23775e+07	1.2991e+07	1.22974e+07	1.16435e+07	1.10069e+07	1.1951e+07	1.15679e+07
O60346	PHLP1_HUMAN	PHLPP1	PH domain leucine-rich repeat-containing protein phosphatase 1	2.69884e+06	2.16347e+06	2.59466e+06	1.81951e+06	2.6329e+06	2.22023e+06	2.69379e+06	2.06442e+06	2.78478e+06	2.49182e+06	2.63966e+06	1.71107e+06	3.03095e+06	2.56544e+06	2.69447e+06	2.44967e+06	2.73842e+06	2.80017e+06	3.03225e+06	2.43109e+06	2.9538e+06	2.47531e+06	3.14744e+06	2.41809e+06
O60347	TBC12_HUMAN	TBC1D12	TBC1 domain family member 12	202487	58005.1	227074	125758	70411.9	76568.3	125014	248565	180763	193588	184798	138356	144136	201499	121897	153216	167019	126899	128176	167897	147410	135886	88797.3	146981
O60353	FZD6_HUMAN	FZD6	Frizzled-6	7.84048e+06	7.94908e+06	8.01285e+06	5.95364e+06	7.78524e+06	7.57045e+06	7.31979e+06	6.7664e+06	7.7249e+06	7.3068e+06	7.46227e+06	6.66035e+06	7.82033e+06	9.87472e+06	8.47483e+06	6.52893e+06	8.18489e+06	7.52389e+06	8.86404e+06	7.9331e+06	7.7973e+06	8.16256e+06	8.32444e+06	7.5965e+06
O60361	NDK8_HUMAN	NME2P1	Putative nucleoside diphosphate kinase	982330	1.13055e+06	933693	819203	1.45712e+06	864809	1.12175e+06	1.25423e+06	1.12807e+06	1.29706e+06	1.42541e+06	1.03405e+06	1.15795e+06	1.45853e+06	1.1516e+06	1.26527e+06	1.31521e+06	1.33081e+06	980957	1.63326e+06	1.34943e+06	1.26248e+06	1.42583e+06	1.40712e+06
O60381	HBP1_HUMAN	HBP1	HMG box-containing protein 1				20672.6				17919.3	22243.6		24109.4		78957.8		13101.5	20310	26034.9	28559.5			23070.6		33183.7	
O60422	ONEC3_HUMAN	ONECUT3	One cut domain family member 3		224009									201283		360378					241563	298441		265671	244195		
O60427	FADS1_HUMAN	FADS1	Acyl-CoA (8-3)-desaturase	2.70382e+06	2.90037e+06	3.27101e+06	2.58198e+06	2.62932e+06	2.62062e+06	3.18343e+06	2.8145e+06	2.77603e+06	2.58792e+06	2.59084e+06	2.43923e+06	5.59879e+06	3.97959e+06	4.13937e+06	3.89148e+06	4.82944e+06	4.51999e+06	4.93566e+06	4.01245e+06	4.72588e+06	3.50239e+06	4.70474e+06	3.6294e+06
O60437	PEPL_HUMAN	PPL	Periplakin	6.28236e+07	4.93238e+07	4.97163e+07	4.79426e+07	6.10668e+07	4.98163e+07	5.25068e+07	4.01985e+07	5.51981e+07	5.12742e+07	5.23625e+07	4.35519e+07	5.00122e+07	5.85008e+07	5.82779e+07	4.79478e+07	6.34566e+07	4.99655e+07	5.75237e+07	4.36034e+07	5.6861e+07	7.00029e+07	5.72074e+07	4.45827e+07
O60443	GSDME_HUMAN	GSDME	Gasdermin-E	1.20258e+07	1.42914e+07	1.3549e+07	1.3644e+07	1.29238e+07	1.35921e+07	1.32968e+07	1.40199e+07	1.19616e+07	1.30735e+07	1.2931e+07	1.38427e+07	8.27256e+06	8.27935e+06	8.29727e+06	8.65545e+06	8.21155e+06	9.68232e+06	8.42545e+06	9.39648e+06	8.22501e+06	7.32909e+06	7.87454e+06	8.95864e+06
O60447	EVI5_HUMAN	EVI5	Ecotropic viral integration site 5 protein homolog	9.33451e+06	8.44472e+06	8.87592e+06	9.56794e+06	9.48354e+06	7.20122e+06	9.17923e+06	9.07082e+06	1.02893e+07	9.02734e+06	1.05056e+07	9.41924e+06	7.02923e+06	6.80441e+06	8.76056e+06	7.10687e+06	7.60075e+06	8.73429e+06	6.28347e+06	8.35656e+06	6.87973e+06	6.35306e+06	6.70896e+06	7.62121e+06
O60449	LY75_HUMAN	LY75	Lymphocyte antigen 75								2.86143e+06				8.00326e+06									6.48465e+06			
